BORICE_FAM	BORICE_subpop	
1	1
1	1
1	1
2	1
2	1
2	1
3	1
3	1
3	1
3	1
4	1
4	1
4	1
4	1
5	1
5	1
5	1
5	1
6	1
6	1
6	1
6	1
7	1
7	1
7	1
7	1
8	1
8	1
8	1
8	1
9	1
9	1
9	1
9	1
10	1
10	1
10	1
10	1
11	1
11	1
11	1
12	1
13	1
13	1
13	1
14	1
15	1
16	1
17	1
18	1
19	1
19	1
19	1
20	1
20	1
20	1
20	1
21	1
22	1
23	1
23	1
23	1
23	1
24	2
24	2
24	2
24	2
24	2
25	2
25	2
25	2
25	2
26	2
26	2
26	2
26	2
26	2
26	2
26	2
26	2
26	2
26	2
26	2
27	2
27	2
27	2
28	3
29	3
29	3
29	3
29	3
29	3
30	3
30	3
30	3
31	3
31	3
31	3
31	3
31	3
32	3
33	3
33	3
33	3
34	3
34	3
35	3
35	3
35	3
35	3
36	3
36	3
36	3
36	3
36	3
37	3
37	3
38	3
38	3
38	3
38	3
38	3
39	3
40	3
40	3
40	3
40	3
40	3
41	3
41	3
41	3
41	3
42	3
42	3
42	3
42	3
42	3
43	4
44	4
45	4
46	4
47	4
48	4
49	4
50	4
51	4
52	4
53	4
54	4
55	4
56	4
57	4
58	5
59	5
59	5
59	5
59	5
59	5
59	5
59	5
60	5
60	5
60	5
61	5
62	5
62	5
62	5
62	5
62	5
63	5
63	5
63	5
63	5
63	5
63	5
64	5
64	5
64	5
64	5
64	5
65	5
65	5
65	5
65	5
65	5
65	5
65	5
65	5
66	5
66	5
66	5
66	5
66	5
66	5
66	5
67	5
67	5
67	5
67	5
67	5
67	5
68	5
68	5
68	5
68	5
68	5
69	5
69	5
69	5
69	5
69	5
69	5
69	5
70	5
70	5
70	5
70	5
70	5
70	5
70	5
70	5
70	5
71	5
71	5
71	5
71	5
71	5
71	5
72	5
72	5
72	5
72	5
73	6
73	6
73	6
73	6
73	6
73	6
73	6
73	6
73	6
73	6
73	6
74	6
74	6
74	6
74	6
74	6
74	6
74	6
75	6
75	6
75	6
75	6
76	6
76	6
76	6
76	6
76	6
76	6
76	6
77	7
77	7
77	7
77	7
78	7
78	7
78	7
79	7
79	7
79	7
79	7
80	7
80	7
80	7
81	7
81	7
81	7
81	7
82	7
82	7
82	7
83	7
83	7
83	7
84	7
84	7
84	7
84	7
85	7
85	7
85	7
86	7
86	7
86	7
86	7
87	7
87	7
87	7
87	7
88	7
88	7
88	7
89	7
89	7
89	7
89	7
90	7
90	7
90	7
91	7
91	7
91	7
92	8
92	8
92	8
92	8
92	8
93	8
93	8
94	8
94	8
94	8
94	8
94	8
95	8
95	8
95	8
95	8
95	8
96	8
96	8
96	8
96	8
96	8
97	8
97	8
97	8
97	8
98	8
98	8
98	8
98	8
98	8
99	8
99	8
99	8
99	8
99	8
100	8
100	8
100	8
100	8
100	8
101	8
101	8
101	8
101	8
101	8
102	8
102	8
102	8
102	8
102	8
